DATAFLOW,LAST UPDATE,FREQ,INDIC,UNIT,GEO,TIME_PERIOD,OBS_VALUE,OBS_FLAG
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2016,59298.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2017,61141.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2018,63445.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2019,65798.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2020,61406.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2021,69300.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BE,2022,72433.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,1995,1211.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,1996,878.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,1997,953.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,1998,1682.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,1999,1668.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2000,1969.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2001,2089.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2002,2160.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2003,2656.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2004,3316.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2005,3862.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2006,4553.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2007,5252.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2008,6336.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2009,5361.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2010,5324.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2011,5788.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2012,6114.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2013,6497.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2014,6495.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2015,7062.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2016,7611.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2017,8133.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2018,8410.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2019,9510.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2020,9402.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2021,10778.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,BG,2022,14042.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,1995,825.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,1996,835.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,1997,824.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,1998,939.7,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,1999,972.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2000,1238.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2001,1381.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2002,1456.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2003,1835.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2004,2103.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2005,2299.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2006,2574.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2007,3055.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2008,3167.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2009,2680.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,CY,2010,2789.8,
